model,auroc,auprc,brier_score,sensitivity,specificity,ppv,npv,f1,threshold,tp,fp,tn,fn,n_total,n_positive
E1_notes_basic,0.8457645440251573,0.7691549354351181,0.1500246596641722,0.625,0.875,0.7389162561576355,0.8047722342733189,0.6772009029345373,0.49626415393692785,150,53,371,90,664,240
E1_notes_aux,0.849498820754717,0.7846341344872503,0.1472227939236181,0.65,0.8514150943396226,0.7123287671232876,0.8112359550561797,0.6797385620915033,0.49626415393692785,156,63,361,84,664,240
