auroc,auprc,brier_score,sensitivity,specificity,ppv,npv,f1,threshold,tp,fp,tn,fn,n_total,n_positive,event_rate,alert_count,manual_review_count,stage,group_col,group_value,sensitivity_gap_vs_overall,auroc_gap_vs_overall,brier_gap_vs_overall,unstable_estimate
0.7324430199430199,0.7712046560134955,0.211655722842008,0.65,0.7051282051282052,0.7177914110429447,0.6358381502890174,0.6822157434402333,0.49626415393692785,117,46,110,63,336,180,0.5357142857142857,163,138,t0,route,no_notes,0.13809523809523816,0.008612970681936227,0.009156227629862429,False
0.699253144654088,0.6077642536285444,0.19786622339944415,0.4083333333333333,0.8938679245283019,0.6853146853146853,0.727447216890595,0.5117493472584856,0.49626415393692785,98,45,379,142,664,240,0.3614457831325301,143,173,t0,route,with_notes,-0.10357142857142854,-0.024576904606995575,-0.004633271812701428,False
0.7839743589743591,0.8093786116295469,0.19294359985500856,0.6777777777777778,0.7115384615384616,0.7305389221556886,0.6568047337278107,0.7031700288184438,0.49626415393692785,122,45,111,58,336,180,0.5357142857142857,163,136,t6,route,no_notes,0.13253968253968262,-0.0005863963622583235,0.008761335587488484,False
0.7728970125786164,0.6712603415860057,0.17974881734373072,0.44583333333333336,0.9080188679245284,0.7328767123287672,0.7432432432432432,0.5544041450777202,0.49626415393692785,107,39,385,133,664,240,0.3614457831325301,156,157,t6,route,with_notes,-0.09940476190476183,-0.011663742758000972,-0.004433446923789358,False
0.8262108262108262,0.8374169001142037,0.1721134587145,0.7388888888888889,0.7564102564102564,0.7777777777777778,0.7151515151515152,0.7578347578347578,0.49626415393692785,133,38,118,47,336,180,0.5357142857142857,180,123,t12,route,no_notes,0.11984126984126986,-0.0006980407842477332,0.005875008797073533,False
0.816185141509434,0.7270019201624051,0.16326555389963018,0.5291666666666667,0.8985849056603774,0.7470588235294118,0.771255060728745,0.6195121951219512,0.49626415393692785,127,43,381,113,664,240,0.3614457831325301,183,157,t12,route,with_notes,-0.0898809523809524,-0.010723725485639934,-0.002972896017796295,False
0.8576566951566952,0.8634518078796408,0.15581325713849975,0.8,0.7307692307692307,0.7741935483870968,0.76,0.7868852459016393,0.49626415393692785,144,42,114,36,336,180,0.5357142857142857,194,112,t24,route,no_notes,0.09523809523809523,-0.0017152260255707263,0.005041131414980277,False
0.8508352987421383,0.773409289537151,0.14822119175449328,0.6333333333333333,0.8891509433962265,0.7638190954773869,0.810752688172043,0.6924829157175398,0.49626415393692785,152,47,377,88,664,240,0.3614457831325301,217,138,t24,route,with_notes,-0.07142857142857151,-0.00853662244012765,-0.002550933969026198,False
