auroc,auprc,brier_score,sensitivity,specificity,ppv,npv,f1,threshold,tp,fp,tn,fn,n_total,n_positive,event_rate,alert_count,manual_review_count,stage,group_col,group_value,sensitivity_gap_vs_overall,auroc_gap_vs_overall,brier_gap_vs_overall,unstable_estimate
0.5995099509950994,0.4678544789054301,0.21179872684851472,0.1414141414141414,0.9752475247524752,0.7368421052631579,0.6985815602836879,0.23728813559322035,0.49626415393692785,14,5,197,85,301,99,0.3289036544850498,19,106,t0,admission_urgency_x_surgery_type,elective+abdominal,-0.3704906204906204,-0.12432009826598422,0.009299231636369143,False
0.6203124999999999,0.7940696101447658,0.19620641843233552,0.975,0.125,0.7358490566037735,0.6666666666666666,0.8387096774193549,0.49626415393692785,78,28,4,2,112,80,0.7142857142857143,106,6,t0,admission_urgency_x_surgery_type,elective+cardiac,0.4630952380952381,-0.1035175492610837,-0.006293076779810058,False
0.5230857142857143,0.2623169756669197,0.1740923299826187,0.02,0.9942857142857143,0.5,0.7802690582959642,0.038461538461538464,0.49626415393692785,1,1,174,49,225,50,0.2222222222222222,2,46,t0,admission_urgency_x_surgery_type,elective+orthopaedic,-0.49190476190476184,-0.20074433497536937,-0.02840716522952688,False
0.51875,0.38077939492550406,0.21944552639279774,0.1,0.9659090909090909,0.5714285714285714,0.7024793388429752,0.1702127659574468,0.49626415393692785,4,3,85,36,128,40,0.3125,7,94,t0,admission_urgency_x_surgery_type,elective+vascular,-0.4119047619047619,-0.20508004926108359,0.01694603118065216,False
0.3448275862068966,0.6922910690954195,0.25316971682837314,0.7586206896551724,0.1,0.7096774193548387,0.125,0.7333333333333333,0.49626415393692785,22,9,1,7,39,29,0.7435897435897436,31,7,t0,admission_urgency_x_surgery_type,emergency+abdominal,0.2467159277504105,-0.37900246305418706,0.050670221616227556,True
0.6302222222222222,0.8679431484013821,0.1371089094809486,1.0,0.0,0.8333333333333334,0.0,0.9090909090909091,0.49626415393692785,75,15,0,0,90,75,0.8333333333333334,90,0,t0,admission_urgency_x_surgery_type,emergency+cardiac,0.48809523809523814,-0.09360782703886139,-0.06539058573119699,False
0.5533333333333333,0.5068314354727398,0.24779146447276384,0.5,0.4666666666666667,0.38461538461538464,0.5833333333333334,0.43478260869565216,0.49626415393692785,5,8,7,5,25,10,0.4,13,11,t0,admission_urgency_x_surgery_type,emergency+orthopaedic,-0.011904761904761862,-0.1704967159277503,0.045291969260618264,True
0.48522941546197357,0.5358968415751735,0.26381188150678403,0.43243243243243246,0.4883720930232558,0.42105263157894735,0.5,0.4266666666666667,0.49626415393692785,16,22,21,21,80,37,0.4625,38,41,t0,admission_urgency_x_surgery_type,emergency+vascular,-0.0794723294723294,-0.23860063379911006,0.06131238629463845,False
0.6904639616504022,0.6841420458864858,0.219799696617026,0.5252525252525253,0.8220338983050848,0.7123287671232876,0.6736111111111112,0.6046511627906976,0.49626415393692785,52,21,97,47,217,99,0.45622119815668205,73,109,t0,has_notes_x_admission_urgency,no_notes+elective,0.013347763347763442,-0.03336608761068138,0.017300201404880422,False
0.7134502923976609,0.8409288985121115,0.19680494713462232,0.8024691358024691,0.34210526315789475,0.7222222222222222,0.4482758620689655,0.7602339181286549,0.49626415393692785,65,25,13,16,119,81,0.680672268907563,90,29,t0,has_notes_x_admission_urgency,no_notes+emergency,0.2905643738977073,-0.01037975686342274,-0.005694548077523259,False
